UF,anomes,ibge,cadunico_tot_fam,cadunico_tot_pes,cadunico_tot_fam_rpc_ate_meio_sm,cadunico_tot_pes_rpc_ate_meio_sm,cadunico_tot_fam_pob,cadunico_tot_pes_pob,cadunico_tot_fam_ext_pob,cadunico_tot_pes_ext_pob,cadunico_tot_fam_pob_e_ext_pob,cadunico_tot_pes_pob_e_ext_pob
AC,201401,2640762,123043,487390,118275,477580,26243,105599.0,73758.0,312496.0,100001.0,418095.0
AC,201402,2640762,124308,490355,119256,480056,26335,105938.0,74260.0,313492.0,100595.0,419430.0
AC,201403,2640762,125836,494170,120422,483210,26297,105691.0,74926.0,315250.0,101223.0,420941.0
AC,201404,2640762,126651,496303,121058,484987,26130,105026.0,75422.0,316625.0,101552.0,421651.0
AC,201405,2640762,127497,498509,121697,486786,24536,97100.0,79899.0,333763.0,104435.0,430863.0
AC,201406,2640762,128910,502246,122774,489935,24674,97646.0,80374.0,334847.0,105048.0,432493.0
AC,201407,2640762,129755,504673,123432,492013,24703,97758.0,80800.0,336079.0,105503.0,433837.0
AC,201408,2640762,130871,507951,124323,494834,24823,98351.0,81310.0,337496.0,106133.0,435847.0
AC,201409,2640762,131563,509316,124802,495849,24929,98748.0,81484.0,337584.0,106413.0,436332.0
AC,201410,2640762,132503,512480,125539,498592,25026,99337.0,81889.0,338867.0,106915.0,438204.0
AC,201411,2640762,133204,514604,126063,500365,24972,99218.0,82330.0,340367.0,107302.0,439585.0
AC,201412,2640762,133893,516711,126575,502138,24946,99164.0,82719.0,341783.0,107665.0,440947.0
AC,201501,2640762,124081,485875,117699,473590,21696,88509.0,78007.0,326213.0,99703.0,414722.0
AC,201502,2640762,124803,488164,118299,475647,21770,88773.0,78356.0,327380.0,100126.0,416153.0
AC,201503,2640762,125182,489497,118629,476886,21799,88995.0,78567.0,328116.0,100366.0,417111.0
AC,201504,2640762,125664,491147,119027,478407,21795,89011.0,78826.0,329094.0,100621.0,418105.0
AC,201505,2640762,126291,493199,119550,480273,21702,88680.0,79224.0,330571.0,100926.0,419251.0
AC,201506,2640762,126785,494232,119906,481045,21741,88845.0,79129.0,329530.0,100870.0,418375.0
AC,201507,2640762,122185,478249,115234,464859,20470,84840.0,75773.0,316453.0,96243.0,401293.0
AC,201508,2640762,122939,480217,115777,466331,20671,85819.0,75390.0,313852.0,96061.0,399671.0
AC,201509,2640762,123358,481199,116089,467098,20874,86904.0,75017.0,311665.0,95891.0,398569.0
AC,201510,2640762,123726,482090,116344,467758,21067,88141.0,74752.0,309833.0,95819.0,397974.0
AC,201511,2640762,124219,483061,116709,468488,21040,88065.0,75036.0,310360.0,96076.0,398425.0
AC,201512,2640762,124890,484958,117255,470165,20923,87491.0,75547.0,312150.0,96470.0,399641.0
AC,201601,2640762,120992,475192,114634,463520,20102,84885.0,73514.0,307648.0,93616.0,392533.0
AC,201602,2640762,121432,476542,115018,464768,19861,84006.0,74135.0,309793.0,93996.0,393799.0
AC,201603,2640762,122205,478586,115688,466635,19675,83247.0,74976.0,312511.0,94651.0,395758.0
AC,201604,2640762,122872,480332,116278,468259,19431,82169.0,75796.0,315249.0,95227.0,397418.0
AC,201605,2640762,123618,482435,116949,470231,19407,82024.0,76424.0,317196.0,95831.0,399220.0
AC,201606,2640762,124286,483821,117501,471371,20098,84346.0,78702.0,326130.0,98800.0,410476.0
AC,201607,2640762,125045,485335,118133,472612,20101,84391.0,78857.0,325467.0,98958.0,409858.0
AC,201608,2640762,125615,486297,118585,473360,19412,82031.0,76778.0,315358.0,96190.0,397389.0
AC,201609,2640762,126264,487835,117677,471078,19324,81512.0,77242.0,316673.0,96566.0,398185.0
AC,201610,2640762,126994,489466,118189,472242,19269,81026.0,77509.0,317113.0,96778.0,398139.0
AC,201611,2640762,127393,490189,118457,472679,19338,81321.0,77527.0,316609.0,96865.0,397930.0
