 Procedimentos hospitalares do SUS - por local de interna��o - Brasil
Interna��es por Ano/m�s atendimento e Unidade da Federa��o
Per�odo:2013-2015
"Ano/m�s atendimento";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"2011";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"..Dezembro/2011";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"2012";5622;4593;13631;4530;32969;2546;7269;17036;10191;29871;8217;6751;30811;7599;6523;41695;71982;15272;37855;121524;43298;33573;58881;17069;10839;13228;20778;674153
"..Janeiro/2012";1;1;2;-;2;-;-;3;1;1;-;-;3;-;-;7;5;-;3;3;2;1;1;-;2;2;2;42
"..Fevereiro/2012";2;1;1;-;-;-;-;3;1;1;1;-;1;-;1;2;4;2;5;6;-;-;-;2;-;3;-;36
"..Mar�o/2012";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2;3;-;-;-;-;-;1;-;8
"..Abril/2012";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;6;1;-;-;-;-;-;-;-;9
"..Maio/2012";-;1;-;-;-;-;-;-;1;-;-;1;-;-;-;-;2;-;11;2;1;1;1;-;-;-;1;22
"..Junho/2012";3;-;-;-;3;-;-;3;-;6;-;3;1;-;-;4;6;-;16;18;-;-;10;1;1;-;3;78
"..Julho/2012";13;-;-;-;13;-;-;4;-;69;-;8;3;-;22;41;33;5;61;141;17;6;160;14;10;8;17;645
"..Agosto/2012";37;6;4;3;92;1;-;22;23;247;7;39;29;13;84;231;175;16;190;810;117;51;1039;81;86;67;67;3537
"..Setembro/2012";127;27;54;57;838;12;10;118;125;982;60;92;358;35;304;666;1016;163;1010;2116;512;372;2484;390;98;181;433;12640
