 Procedimentos hospitalares do SUS - por local de internação - Brasil
Internações por Ano/mês atendimento e Unidade da Federação
Período:2016-2018
"Ano/mês atendimento";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"2015";6612;3364;12184;5021;29160;2041;7266;17609;8652;28455;11218;10521;29304;8684;7707;40524;69007;18036;41890;106474;42553;27272;46530;14980;9511;15361;17617;637553
"..Janeiro/2015";1;-;-;-;-;1;-;2;1;-;-;-;-;1;-;4;1;-;5;1;1;-;-;-;-;-;-;18
"..Fevereiro/2015";-;-;-;-;1;-;-;1;4;1;1;1;7;1;-;9;-;-;5;3;2;-;-;-;-;-;-;36
"..Março/2015";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3;-;-;-;-;-;-;-;-;4
"..Abril/2015";2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;1;1;-;-;2;9
"..Maio/2015";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;3;-;-;1;-;-;-;3;14
"..Junho/2015";3;-;-;-;1;-;-;1;-;-;-;-;-;-;-;5;3;-;19;22;-;2;6;1;-;-;1;64
"..Julho/2015";4;1;1;-;5;-;-;10;1;14;6;4;1;3;2;15;23;1;63;90;9;6;27;16;3;6;10;321
"..Agosto/2015";5;3;2;1;49;1;1;46;5;67;108;8;7;23;19;97;94;1;214;345;108;29;176;60;22;41;79;1611
"..Setembro/2015";52;25;19;93;359;22;61;158;99;504;387;97;103;81;322;612;737;75;866;1486;902;199;734;388;76;143;582;9182
"..Outubro/2015";290;569;758;1084;3295;104;1240;1559;590;3036;1987;731;2115;680;1652;3472;7013;1155;4366;9517;4209;2540;3533;2113;670;1076;2890;62244
"..Novembro/2015";1766;942;3505;1582;7350;477;2337;4227;1897;7106;3075;3474;6544;2173;2442;9008;16500;5040;10328;22165;9881;6464;10591;3995;2315;3164;5012;153360
"..Dezembro/2015";4489;1824;7899;2261;18100;1436;3627;11605;6055;17727;5654;6206;20526;5722;3270;27302;44636;11764;26011;72842;27441;18032;31461;8406;6425;10931;9038;410690
"2016";110906;46563;165438;37324;464398;32092;76197;404994;216115;470268;156768;174901;526458;167096;93765;802007;1177897;234519;635969;2381799;795574;466484;749140;163725;191152;326774;187892;11256215
"..Janeiro/2016";8780;3968;14122;2897;37912;2595;5655;34748;17888;38227;12477;14057;42054;13064;7284;65148;95025;18535;54608;191042;62302;37302;60805;13307;15157;27206;14092;910257
"..Fevereiro/2016";8810;3952;13382;2839;37491;2403;6267;34900;17667;38528;13055;14306;41717;12545;7126;67076;94241;18276;51639;187559;61812;36710;57480;13262;15219;27333;14148;899743
"..Março/2016";9742;4044;15170;3107;41969;2819;6954;36984;18845;41265;14703;15913;46406;14647;8317;74888;107257;20628;58778;214604;70932;40699;64895;14483;17420;30724;16122;1012315
