Ano,Mês,RO,AC,AM,RR,PA,AP,TO,MA,PI,CE,RN,PB,PE,AL,SE,BA,MG,ES,RJ,SP,PR,SC,RS,MS,MT,GO,DF,Total
2010,Janeiro,8670,4034,13542,2568,43745,3070,8411,32634,20698,40270,13954,18987,40462,14258,7143,71380,91105,14830,55513.0,187231,61433,30970,59683,13342,15115,32623,15434,921105.0
2010,Fevereiro,7945,3624,12401,2277,42286,2715,8013,29964,18729,37242,13060,17666,36900,13072,6678,66548,87825,14003,49748.0,179941,60456,29943,54080,13084,13939,30627,14567,867333.0
2010,Março,9036,4556,14616,2828,48037,3169,9439,34454,21582,43821,16251,20708,46020,17045,8727,81882,104877,17634,61193.0,216682,73228,35207,64897,16236,16803,35019,17306,1041253.0
2010,Abril,8551,4508,13674,2590,44248,3134,9026,33058,19696,41367,15027,19702,43193,16214,8324,77278,95596,16464,57866.0,198602,65405,32185,60314,13851,15284,32086,16292,963535.0
2010,Maio,8622,4293,13545,2984,46360,3074,8835,34014,21043,44091,15722,21480,47255,16950,8722,81262,98346,16961,59851.0,204531,67439,33375,62529,13625,15543,31381,16707,998540.0
2010,Junho,7861,3963,13197,3028,43746,3159,8130,33077,19208,41069,13979,18716,42126,14394,7280,68596,91795,15656,55026.0,192091,64959,32530,60718,13129,14217,29121,14863,925634.0
2010,Julho,8332,3958,13188,3085,41934,3201,8223,33117,18938,40715,14492,20536,43597,15269,7859,72476,94663,16241,56306.0,193427,66122,33192,63078,13006,14731,28403,15301,943390.0
2010,Agosto,8618,4102,13595,3099,45673,3468,9221,33897,19329,41586,14757,20305,44786,15771,7971,77454,99193,17355,58892.0,205500,67807,34406,64043,14588,15573,32536,16281,989806.0
2010,Setembro,8403,4156,13485,2800,44367,3180,8747,33798,19146,40045,14169,19346,43291,15236,7963,74034,97228,16370,53559.0,195081,66673,32474,59741,14086,15406,32248,15900,950932.0
2010,Outubro,8182,4406,14067,2658,42910,2912,8501,33182,18906,39831,13812,19307,43723,14841,7630,73828,93079,16686,53720.0,191999,64601,32584,60225,13251,14688,29740,15454,934723.0
2010,Novembro,8293,4124,13212,2528,43087,2722,8362,32886,18722,38972,13837,18461,43154,14631,7861,72850,91907,16669,52949.0,191212,65123,32042,58004,12945,14465,29536,14697,923251.0
2010,Dezembro,7930,4054,13308,2382,42265,2654,8151,31223,17772,38040,13310,16706,41392,13296,7366,68990,91365,16581,51701.0,183461,61705,30290,55019,12268,14399,27917,14093,887638.0
2011,Janeiro,7821,4621,13978,2541,44268,2976,8780,35259,20830,41969,13412,18020,42371,13702,7828,74584,94600,17012,56747.0,195391,64083,32379,59554,13317,14846,29938,15321,946148.0
2011,Fevereiro,7785,4129,13488,1984,42044,2789,8440,33794,19506,41111,13922,18316,41933,14193,7001,69851,91208,16649,53878.0,190427,61257,31731,53992,12779,13597,28997,15093,909894.0
2011,Março,8691,4573,15187,2077,46579,3221,9728,35398,20486,44395,15385,20016,46617,15711,7796,78163,99462,18459,57348.0,210100,66609,34864,61470,14153,15193,33829,16675,1002185.0
2011,Abril,8836,4344,14388,2185,42490,3329,9267,33386,19110,41959,14640,17642,44437,14862,7774,75249,95537,17686,58323.0,197926,61681,33265,58049,13631,14825,30013,16468,951302.0
2011,Maio,8274,4859,13665,2620,43492,3258,9323,33579,19198,42245,15025,18251,46261,16345,8530,76744,102114,18703,60871.0,209373,66262,35299,62426,14134,14675,29668,16519,991713.0
2011,Junho,8195,4355,13539,2596,41299,2912,8790,31731,17881,39860,14241,17233,43332,15458,7699,71041,95621,17937,56275.0,193857,60615,33227,61120,13112,14256,27611,15286,929079.0
2011,Julho,7814,4311,13345,2568,38734,3034,8202,32043,17827,38608,14373,16901,43160,14890,7561,71511,94660,17398,54035.0,196668,61560,34076,61119,13269,13854,28496,15199,925216.0
2011,Agosto,8681,4304,13716,2735,43303,3119,8985,34748,18489,40896,14860,18036,46440,15677,7944,76614,99679,18382,56792.0,205817,64990,34901,61506,13007,15041,30702,16510,975874.0
2011,Setembro,7918,4234,13051,2837,42302,3204,8966,32711,18449,38911,14023,17281,43321,14870,7407,70909,95030,17041,52078.0,192477,61005,32607,57716,12673,14627,29736,15795,921179.0
2011,Outubro,8245,4118,13756,2702,41776,3185,9133,33697,18418,39467,13936,17136,44263,14897,7703,72356,93911,17286,50810.0,194114,63302,33834,59073,12521,14533,29264,15388,928824.0
2011,Novembro,8254,4148,14317,2669,42089,3121,9509,34656,18330,38308,13718,16932,43250,14029,7971,71318,93533,17411,49151.0,186207,62444,32561,58085,12792,14659,28572,15213,913247.0
2011,Dezembro,7422,4116,11684,2543,40971,2933,9020,32390,17284,37180,12404,16209,41539,13034,7417,69417,91911,16981,47726.0,178120,58458,30738,56091,12211,14248,26054,14322,872423.0
2012,Janeiro,8152,4523,13005,2463,42731,3070,8789,33513,18824,38887,13028,16198,41691,13753,7616,71469,95124,17069,53008.0,191842,60440,33116,60760,12848,14457,27948,15388,919712.0
2012,Fevereiro,7953,3891,12188,2556,40570,2972,8822,31252,17038,35469,13012,15947,39840,13465,7311,66583,90723,16552,48496.0,185540,59159,31893,54893,12835,13941,27870,14774,875545.0
2012,Março,8570,4580,14762,2811,45619,3335,9972,36262,18556,40890,15375,18217,47389,14685,8232,78708,103429,18976,57438.0,211485,67362,35653,62888,14344,16172,30699,16407,1002816.0
2012,Abril,8422,4266,14168,2620,42935,3193,9762,33917,18273,39416,13718,17200,44644,13404,7702,71740,96660,17224,53388.0,195984,63476,33820,58759,13190,15624,28945,15850,938300.0
2012,Maio,8605,4374,14677,3019,43561,3310,9426,35671,19970,41397,14333,18085,47951,14480,8391,76358,104476,18275,58528.0,211133,69054,37703,64642,14494,16457,28566,16604,1003540.0
2012,Junho,8010,4388,13942,2655,38974,3019,8641,32598,18176,37221,13738,16039,43830,13709,7363,70936,96914,17504,53766.0,193117,64125,34799,61756,13281,15125,27102,15540,926268.0
2012,Julho,7819,4724,14254,2529,37408,3342,8407,32815,18298,36632,14783,17009,45405,14503,7392,74568,100370,18380,52893.0,199938,66265,35505,64914,13278,15964,26091,15736,949222.0
2012,Agosto,7880,4443,14198,2660,38620,3343,8851,33904,18594,37310,14258,16822,46839,13886,7538,73694,101160,18380,52893.0,204253,67645,36537,63871,13604,15903,28909,16195,962190.0
2012,Setembro,7321,4485,12872,2338,39379,3135,8494,32476,17861,35005,12059,15525,42961,13643,6679,68576,94764,17337,48910.0,189132,61193,33476,55216,12389,14805,27810,14961,892802.0
2012,Outubro,7448,3774,12735,883,35908,3122,7221,29759,16750,32035,12433,14941,41486,13082,6414,64544,91539,17232,48327.0,191877,62235,31077,54503,10207,14973,26514,13225,864244.0
2012,Novembro,6264,2870,9299,890,29995,2652,6040,23933,14445,26579,10335,13983,34426,11367,5396,53998,73279,13219,37511.0,154366,50379,22479,41861,6778,11632,22000,7862,693838.0
2012,Dezembro,3720,1855,3941,535,16511,1047,3753,14680,9675,16340,5930,9660,18457,7028,3345,31951,44185,7075,22566.0,93378,27509,9452,19889,3143,6834,14222,3908,400589.0
