Ano,Mês,RO,AC,AM,RR,PA,AP,TO,MA,PI,CE,RN,PB,PE,AL,SE,BA,MG,ES,RJ,SP,PR,SC,RS,MS,MT,GO,DF,Total
2013,Janeiro,8123,4430,15031,2597,41496,3123,8404,34606,18356,37588,12660,15533,43749,13493,7082,64942,94222.0,16620,52359,191120,61064,33084,60471,13165,15151,28001,15584,912054.0
2013,Fevereiro,8072,3867,12385,2314,38305,2955,8161,30860,16855,34693,11846,14640,38915,11779,6535,59229,87203.0,15323,45907,176079,56383,30297,52406,12453,13818,27249,14411,832940.0
2013,Marï¿½o,9354,4569,13776,2779,43818,3278,9224,34829,18652,39317,14854,17328,44108,14131,7745,68672,99854.0,17944,53090,198950,64057,34460,59976,14291,16113,31102,16515,952786.0
2013,Abril,9352,4513,13867,2710,44692,3422,9186,35371,20031,41649,15429,17730,45814,14460,8086,69299,104530.0,18523,54495,208350,67274,36019,62734,14361,16474,31633,17238,987242.0
2013,Maio,8818,4266,14392,2879,43359,3202,9273,35497,19873,42672,15441,18607,47961,15311,7781,70479,102907.0,18208,55109,202052,64191,35428,61799,14309,15838,30203,16483,976338.0
2013,Junho,8400,4068,13983,3103,40617,3001,8835,32593,18619,37974,14173,17180,44152,14612,7401,67284,99610.0,17091,53531,195258,63385,35313,61952,13552,14996,28486,15579,934748.0
2013,Julho,8895,4358,13753,2902,39326,3128,8638,34185,18527,40017,14652,17469,45097,15321,7471,70497,101317.0,18030,54565,196602,66070,36813,67192,14087,15069,27888,16034,957903.0
2013,Agosto,9254,4402,13523,2867,40702,3271,8772,34973,18003,39778,13868,16934,46107,14084,7516,69085,100595.0,18058,53476,201655,65519,36315,64191,13468,15503,29666,16038,957623.0
2013,Setembro,8940,4311,13174,2827,41392,3247,9105,34829,18259,39375,13735,16134,44928,13937,7443,68408,99156.0,17842,52885,196146,62827,35544,62106,13737,14929,29565,15563,940344.0
2013,Outubro,9568,4631,13560,2830,41766,3510,9295,36080,18400,39318,14261,16577,46722,14271,7419,70674,102114.0,18947,52709,202059,65479,37970,66348,13937,15695,29875,15904,969919.0
