data_pas,focos
2003-01-02 17:00:00,1
2003-01-10 18:00:00,2
2003-01-11 17:00:00,3
2003-01-13 16:00:00,1
2003-01-14 17:00:00,3
2003-01-25 17:00:00,1
2003-01-27 17:00:00,2
2003-02-03 17:00:00,6
2003-02-04 18:00:00,1
2003-02-05 17:00:00,5
2003-02-06 17:00:00,1
2003-02-08 17:00:00,1
2003-02-10 17:00:00,7
2003-02-13 17:00:00,1
2003-02-14 16:00:00,2
2003-02-19 17:00:00,4
2003-02-24 17:00:00,2
2003-02-26 17:00:00,14
2003-02-27 18:00:00,2
2003-02-28 17:00:00,9
2003-03-01 17:00:00,4
2003-03-02 16:00:00,2
2003-03-03 17:00:00,4
2003-03-05 17:00:00,10
2003-03-06 18:00:00,2
2003-03-07 17:00:00,4
2003-03-08 18:00:00,2
2003-03-16 17:00:00,1
2003-03-20 18:00:00,2
2003-03-25 17:00:00,1
2003-03-28 17:00:00,2
2003-04-01 17:00:00,6
2003-04-02 17:00:00,2
2003-04-06 17:00:00,1
2003-04-08 17:00:00,4
2003-04-10 17:00:00,1
2003-04-11 17:00:00,1
2003-04-13 17:00:00,2
2003-04-15 17:00:00,3
2003-04-18 17:00:00,1
2003-04-19 16:00:00,6
2003-04-20 17:00:00,2
2003-04-22 17:00:00,12
2003-04-23 18:00:00,1
2003-04-24 17:00:00,22
2003-04-25 17:00:00,4
2003-04-25 18:00:00,1
2003-04-26 17:00:00,14
2003-04-27 17:00:00,8
2003-04-28 16:00:00,1
2003-04-29 17:00:00,28
2003-04-30 16:00:00,3
2003-04-30 18:00:00,4
2003-05-01 17:00:00,30
2003-05-02 18:00:00,6
2003-05-03 17:00:00,4
2003-05-04 17:00:00,7
2003-05-06 17:00:00,1
2003-05-08 17:00:00,20
2003-05-10 17:00:00,6
2003-05-11 17:00:00,2
2003-05-11 18:00:00,4
2003-05-13 17:00:00,10
2003-05-14 16:00:00,3
2003-05-15 17:00:00,30
2003-05-16 16:00:00,6
2003-05-16 18:00:00,1
2003-05-17 17:00:00,21
2003-05-18 18:00:00,11
2003-05-19 17:00:00,9
2003-05-20 17:00:00,14
2003-05-21 16:00:00,12
2003-05-22 17:00:00,22
2003-05-23 16:00:00,2
2003-05-24 17:00:00,4
2003-05-26 17:00:00,8
2003-05-27 17:00:00,1
2003-05-27 18:00:00,1
2003-05-29 17:00:00,24
2003-05-30 16:00:00,1
2003-05-31 17:00:00,5
2003-06-01 18:00:00,1
2003-06-02 17:00:00,8
2003-06-03 18:00:00,4
2003-06-04 17:00:00,13
2003-06-05 17:00:00,9
2003-06-06 16:00:00,6
2003-06-07 17:00:00,43
2003-06-08 16:00:00,5
2003-06-08 18:00:00,4
2003-06-09 17:00:00,45
2003-06-11 17:00:00,32
2003-06-12 17:00:00,15
2003-06-12 18:00:00,8
2003-06-13 17:00:00,20
2003-06-14 17:00:00,39
2003-06-15 16:00:00,3
2003-06-16 17:00:00,63
2003-06-17 18:00:00,13
2003-06-18 17:00:00,78
2003-06-19 18:00:00,32
2003-06-20 17:00:00,50
2003-06-21 17:00:00,23
2003-06-22 16:00:00,7
2003-06-23 17:00:00,58
2003-06-24 16:00:00,18
2003-06-24 18:00:00,4
2003-06-25 17:00:00,113
2003-06-26 18:00:00,12
2003-06-27 17:00:00,51
2003-06-28 17:00:00,8
2003-06-28 18:00:00,10
2003-06-29 17:00:00,18
2003-06-30 17:00:00,42
2003-07-01 16:00:00,19
2003-07-02 17:00:00,62
2003-07-03 18:00:00,9
2003-07-04 17:00:00,71
2003-07-05 18:00:00,22
2003-07-06 17:00:00,30
2003-07-07 17:00:00,30
2003-07-08 16:00:00,14
2003-07-09 17:00:00,56
2003-07-10 16:00:00,13
2003-07-10 18:00:00,5
2003-07-11 17:00:00,67
2003-07-12 16:00:00,1
2003-07-12 18:00:00,3
2003-07-13 17:00:00,22
2003-07-14 17:00:00,4
2003-07-14 18:00:00,6
2003-07-15 17:00:00,18
2003-07-16 17:00:00,34
2003-07-17 16:00:00,7
2003-07-18 17:00:00,61
