anomes,qtd_ben_bas,qtd_ben_var,qtd_ben_bvj,qtd_ben_bvn,qtd_ben_bvg,qtd_ben_bsp
201401,12848341.0,21513660.0,2403051.0,229166.0,203929.0,4996836.0
201402,12919811.0,21563702.0,2499499.0,209937.0,263106.0,4998101.0
201403,12865477.0,21496464.0,2526679.0,216131.0,216811.0,5005770.0
201404,12829436.0,21584695.0,2609324.0,221370.0,184068.0,5020189.0
201405,12655719.0,21260346.0,2626360.0,223447.0,179832.0,4986875.0
201406,12943032.0,21085840.0,3194151.0,237918.0,172423.0,5385366.0
201407,13218610.0,21470176.0,3229222.0,273220.0,159662.0,5449482.0
201408,12973287.0,21063959.0,3258810.0,287979.0,253760.0,5380169.0
201409,13036788.0,21053336.0,3356223.0,299292.0,232109.0,5357378.0
201410,12986677.0,20932734.0,3454160.0,295624.0,252516.0,5323908.0
201411,13219080.0,20922287.0,3569488.0,298970.0,221070.0,5322667.0
201412,12950869.0,20800996.0,3595819.0,274456.0,262214.0,5289052.0
201501,12949497.0,20747838.0,2645296.0,250488.0,309216.0,5344413.0
201502,12970127.0,20763207.0,2759500.0,238686.0,314727.0,5336492.0
201503,12941335.0,20669762.0,2857924.0,218984.0,315455.0,5308215.0
201504,12613090.0,20370019.0,2891436.0,225298.0,315919.0,5294166.0
201505,12630473.0,20297632.0,3001515.0,219415.0,240657.0,5264774.0
201506,12603924.0,20245204.0,3090178.0,226595.0,266257.0,5216835.0
201507,12687557.0,20383386.0,3235906.0,234656.0,295018.0,5156622.0
201508,12660328.0,20301886.0,3329604.0,242608.0,312333.0,5020249.0
201509,12647808.0,20392944.0,3346015.0,266027.0,271243.0,4973927.0
201510,12583625.0,20464302.0,3371994.0,268971.0,238050.0,5026718.0
201511,12289465.0,20158011.0,3363332.0,281418.0,229954.0,5017495.0
201512,12441237.0,20318999.0,3478951.0,282160.0,276717.0,5024494.0
201601,12394988.0,20385866.0,2509987.0,305279.0,321430.0,5204101.0
201602,12282340.0,20306223.0,2629478.0,292472.0,315777.0,5201389.0
201603,12078324.0,20083894.0,2679918.0,280739.0,285016.0,5223038.0
201604,12143265.0,20144083.0,2810672.0,279798.0,270394.0,5259574.0
201605,12120841.0,20044808.0,2893054.0,279512.0,253486.0,5241326.0
201606,12105740.0,19974655.0,2979356.0,278172.0,387953.0,5230826.0
201607,12336105.0,20158757.0,3058199.0,276070.0,364509.0,5511763.0
201608,12295830.0,20111922.0,3163615.0,308571.0,337423.0,5468756.0
