siglauf,anomes,qtd_ben_bas,qtd_ben_var,qtd_ben_bvj,qtd_ben_bvn,qtd_ben_bvg,qtd_ben_bsp
AC,201401,72710.0,168327.0,18237.0,2101.0,1228.0,39383.0
AC,201402,73619.0,169677.0,19167.0,2017.0,1464.0,39600.0
AC,201403,72843.0,169165.0,19502.0,2161.0,1141.0,39881.0
AC,201404,72588.0,170523.0,20237.0,2339.0,1002.0,40493.0
AC,201405,72016.0,169534.0,20466.0,2382.0,996.0,40526.0
AC,201406,74302.0,166119.0,24384.0,2290.0,974.0,43325.0
AC,201407,75262.0,168544.0,24918.0,2346.0,928.0,43329.0
AC,201408,73861.0,165252.0,25402.0,2387.0,1596.0,43033.0
AC,201409,74216.0,165392.0,26278.0,2347.0,1447.0,43104.0
AC,201410,73917.0,164407.0,27175.0,2281.0,1564.0,43018.0
AC,201411,104973.0,163865.0,28095.0,2237.0,1481.0,43028.0
AC,201412,73694.0,163113.0,28621.0,2094.0,1724.0,43024.0
AC,201501,73765.0,162980.0,21335.0,2057.0,1992.0,43481.0
AC,201502,74005.0,163101.0,22194.0,2051.0,2074.0,43506.0
AC,201503,73966.0,162801.0,23056.0,1967.0,2071.0,43522.0
AC,201504,72420.0,161340.0,23701.0,1865.0,2075.0,43334.0
AC,201505,72575.0,161296.0,24686.0,1909.0,1447.0,43417.0
AC,201506,72473.0,160587.0,25415.0,2077.0,1582.0,43395.0
AC,201507,72531.0,160166.0,26264.0,2060.0,1737.0,43162.0
AC,201508,72532.0,159839.0,27086.0,2093.0,1822.0,42203.0
AC,201509,74149.0,163704.0,27227.0,2274.0,1602.0,42883.0
AC,201510,74607.0,165622.0,27718.0,2408.0,1370.0,44222.0
AC,201511,72791.0,163829.0,27746.0,2514.0,1282.0,43962.0
AC,201512,73314.0,164041.0,28685.0,2390.0,1759.0,44115.0
AC,201601,75450.0,168581.0,21001.0,2699.0,2144.0,46730.0
AC,201602,75063.0,168058.0,21990.0,2607.0,2226.0,46813.0
AC,201603,75510.0,169073.0,22773.0,2549.0,2015.0,47888.0
AC,201604,76078.0,169731.0,23859.0,2543.0,1966.0,48442.0
AC,201605,75879.0,168861.0,24466.0,2592.0,1865.0,48537.0
AC,201606,75851.0,168102.0,25311.0,2653.0,3149.0,48543.0
AC,201607,77131.0,169355.0,26241.0,2484.0,3035.0,50048.0
AC,201608,76862.0,168788.0,26915.0,2615.0,2806.0,49683.0
AC,201609,76094.0,168308.0,27305.0,2614.0,2309.0,49807.0
AC,201610,76615.0,168379.0,28049.0,2474.0,1954.0,49885.0
AC,201611,76119.0,167694.0,28466.0,2457.0,3126.0,49475.0
AC,201612,73016.0,166849.0,29051.0,2344.0,3362.0,49514.0
AC,201701,74323.0,168046.0,21202.0,2439.0,3483.0,51522.0
AC,201702,76306.0,168550.0,22026.0,2456.0,3837.0,51903.0
AC,201703,74926.0,168213.0,22375.0,2410.0,2826.0,51744.0
AC,201704,74491.0,166358.0,22932.0,2346.0,3635.0,51604.0
AC,201705,74254.0,165450.0,23854.0,2348.0,4235.0,51229.0
AC,201706,74112.0,164398.0,24556.0,2472.0,4758.0,50762.0
AC,201707,71912.0,158654.0,23886.0,2414.0,5078.0,49894.0
AC,201708,75900.0,163760.0,24594.0,2809.0,4127.0,52005.0
AC,201709,75430.0,162729.0,25301.0,2900.0,3829.0,51808.0
AC,201710,76259.0,163356.0,25993.0,3107.0,3466.0,52295.0
AC,201711,77447.0,164219.0,26669.0,3286.0,3932.0,52677.0
AC,201712,77976.0,165013.0,27520.0,3313.0,4292.0,53004.0
AC,201801,79025.0,165923.0,23481.0,3231.0,4122.0,53658.0
AC,201802,79569.0,166647.0,20892.0,3127.0,3777.0,53992.0
AC,201803,79929.0,166849.0,21624.0,3082.0,3387.0,54250.0
AC,201804,78099.0,163466.0,21706.0,3189.0,3429.0,53168.0
AC,201805,79461.0,164930.0,22599.0,3179.0,4080.0,54080.0
AC,201806,78917.0,161731.0,22820.0,3317.0,4913.0,53905.0
AC,201807,79736.0,162814.0,23589.0,3291.0,5426.0,54896.0
AC,201808,80597.0,163666.0,24447.0,3164.0,4770.0,55378.0
AC,201809,80076.0,162056.0,24577.0,3322.0,4235.0,55231.0
AC,201810,81188.0,163042.0,25335.0,3426.0,3688.0,56033.0
AC,201811,82846.0,164919.0,26225.0,3664.0,4125.0,57061.0
AC,201812,82762.0,164286.0,26498.0,3569.0,4770.0,57426.0
AC,201901,82141.0,162299.0,19257.0,3630.0,4619.0,57184.0
AC,201902,83065.0,162990.0,20064.0,3777.0,4274.0,57735.0
AC,201903,83964.0,163931.0,20910.0,3751.0,4093.0,58618.0
AC,201904,84259.0,163902.0,21719.0,3565.0,3587.0,57566.0
AC,201905,85481.0,164493.0,22492.0,3542.0,4432.0,59567.0
AC,201906,84121.0,162218.0,22209.0,3517.0,4770.0,58304.0
AC,201907,83582.0,161481.0,23301.0,3454.0,5201.0,58967.0
AC,201908,83710.0,161429.0,23931.0,3443.0,4555.0,59182.0
AC,201909,82372.0,159189.0,24293.0,3378.0,4861.0,58442.0
AC,201910,82482.0,159494.0,24891.0,3401.0,4777.0,58477.0
AC,201911,81194.0,157489.0,25094.0,3262.0,4899.0,57918.0
AC,201912,81440.0,157672.0,25636.0,3161.0,4668.0,58049.0
AC,202001,81167.0,157142.0,18597.0,3022.0,5223.0,58624.0
AC,202002,80995.0,156495.0,19376.0,2810.0,4567.0,58758.0
AC,202003,79983.0,155511.0,19930.0,2818.0,4417.0,58156.0
AC,202004,84382.0,160894.0,21087.0,2911.0,4017.0,61059.0
AC,202005,84503.0,160181.0,21943.0,2343.0,4971.0,61050.0
AC,202006,84548.0,160406.0,21944.0,1880.0,3831.0,61148.0
AC,202007,88002.0,160533.0,21942.0,1444.0,3300.0,61195.0
AC,202008,88003.0,160648.0,21946.0,1181.0,2685.0,61238.0
AC,202009,88003.0,157323.0,25358.0,784.0,3954.0,61133.0
AC,202010,88044.0,157436.0,25358.0,231.0,3378.0,61189.0
AC,202011,88068.0,157403.0,25345.0,155.0,2970.0,61189.0
AC,202012,88079.0,157449.0,25350.0,155.0,2720.0,61219.0
AL,201401,421230.0,648828.0,76409.0,7215.0,5198.0,163015.0
AL,201402,423789.0,651949.0,79469.0,7200.0,6616.0,162832.0
AL,201403,424333.0,653122.0,81019.0,7706.0,5696.0,163388.0
AL,201404,422038.0,654790.0,83661.0,7867.0,4847.0,163812.0
AL,201405,416607.0,646521.0,84481.0,7882.0,4592.0,161872.0
AL,201406,423465.0,638282.0,100352.0,7397.0,4400.0,175629.0
AL,201407,433125.0,652419.0,101943.0,8044.0,4114.0,176691.0
AL,201408,427178.0,644051.0,103051.0,8694.0,6607.0,174964.0
AL,201409,428920.0,642719.0,106049.0,8945.0,6184.0,174334.0
AL,201410,426325.0,638115.0,108987.0,8684.0,6598.0,173515.0
AL,201411,402678.0,635645.0,112203.0,8617.0,5576.0,173030.0
AL,201412,423742.0,631839.0,113362.0,8407.0,6639.0,172097.0
AL,201501,423813.0,630486.0,82343.0,7804.0,7905.0,174257.0
AL,201502,423481.0,628554.0,85599.0,7352.0,8050.0,173520.0
AL,201503,422777.0,626489.0,88386.0,6535.0,8078.0,172604.0
AL,201504,409767.0,614844.0,89849.0,6468.0,8026.0,170061.0
AL,201505,410661.0,613502.0,93228.0,6323.0,5702.0,169402.0
AL,201506,407271.0,607180.0,95718.0,6296.0,5938.0,167432.0
