anomes,cadunico_tot_fam,cadunico_tot_pes,cadunico_tot_fam_rpc_ate_meio_sm,cadunico_tot_pes_rpc_ate_meio_sm,cadunico_tot_fam_pob,cadunico_tot_pes_pob,cadunico_tot_fam_ext_pob,cadunico_tot_pes_ext_pob,cadunico_tot_fam_pob_e_ext_pob,cadunico_tot_pes_pob_e_ext_pob
201401,27294078,85230127,24340226,80082893,5395751,19242171,13359543,43879431,18755294,63121602
201402,27480767,85548607,24437475,80229700,5394947,19199187,13365297,43789150,18760244,62988337
201403,27708136,85949715,24554470,80419393,5391327,19131317,13362035,43654971,18753362,62786288
201404,27884336,86243847,24640692,80540963,5381709,19048819,13358999,43537313,18740708,62586132
201405,28018423,86429425,24695432,80575804,5311688,18633690,14036647,45762860,19348335,64396550
201406,28227088,86781675,24794350,80720788,5313985,18604829,14049523,45681502,19363508,64286331
201407,28400619,87087297,24880631,80860293,5316326,18586217,14073816,45662101,19390142,64248318
201408,28644611,87521411,25006542,81068084,5324903,18579969,14111822,45641330,19436725,64221299
201409,28726586,87423936,25008733,80824512,5312102,18473103,14079417,45400575,19391519,63873678
201410,28864998,87794434,25058257,81014881,5311130,18491704,14080860,45381621,19391990,63873325
201411,29012262,88062505,25131778,81141551,5317056,18485958,14097843,45368430,19414899,63854388
201412,29164446,88339340,25202296,81264085,5325302,18491146,14095333,45300249,19420635,63791395
201501,26660629,80724917,23089989,74531204,4395578,15431065,13146938,42256512,17542516,57687577
201502,26840512,81096069,23182416,74733898,4406186,15438142,13155194,42238268,17561380,57676410
201503,27037471,81500052,23282578,74947800,4423204,15456313,13149251,42156931,17572455,57613244
201504,27189653,81811228,23362648,75119613,4436369,15469472,13145749,42094162,17582118,57563634
201505,27368455,82167592,23455795,75311228,4434418,15430374,13148416,42028403,17582834,57458777
201506,27506752,82398757,23504436,75360036,4437139,15410038,13036672,41552386,17473811,56962424
201507,26483636,79280975,22559653,72310344,4169677,14455430,12509474,39801023,16679151,54256453
201508,26687913,79713876,22652539,72518548,4193171,14501658,12423826,39437959,16616997,53939617
201509,26850486,80034574,22726127,72666762,4219431,14561749,12362376,39177799,16581807,53739548
201510,27000748,80328412,22798822,72811221,4246444,14633594,12318684,38976273,16565128,53609867
201511,27150567,80607912,22874121,72951664,4260693,14654034,12316479,38916569,16577172,53570603
201512,27325069,80954053,22961293,73127179,4268713,14652534,12335278,38919660,16603991,53572194
201601,26145603,78138301,22390351,71668556,4057645,14002852,11827568,37764236,15885213,51767088
201602,26295124,78452646,22481781,71872495,4053232,13977439,11898567,37937633,15951799,51915072
201603,26504859,78898656,22619963,72184992,4045843,13926995,12003677,38197235,16049520,52124230
201604,26752115,79424000,22790112,72568544,4036963,13870296,12133508,38508868,16170471,52379164
201605,26957954,79867673,22933787,72899562,4036194,13840403,12236939,38764955,16273133,52605358
201606,27160008,80250222,23038996,73096088,4152311,14419471,12707404,40286876,16859715,54706347
201607,27392336,80726761,23174691,73385749,4148778,14364981,12750064,40327934,16898842,54692915
201608,27577027,81073588,23268230,73552294,4049454,13756536,12288703,38667390,16338157,52423926
201609,27745078,81404307,22628157,71931571,4061011,13755032,12313630,38672123,16374641,52427155
201610,27925293,81748023,22671669,71977059,4076375,13758635,12289970,38491652,16366345,52250287
201611,28045561,81976502,22688343,71986720,4097975,13793248,12251048,38319485,16349023,52112733
201612,26456063,77878526,21410812,68317566,3849178,12974976,11720302,36803455,15569480,49778431
201701,26589866,78149300,22541556,71090014,3841934,13201399,12296621,38619300,16138555,51820699
201702,26771992,78514926,22667042,71350264,3841058,13165934,12389174,38837644,16230232,52003578
201703,26979934,78936850,22812785,71660534,3848352,13153447,12493036,39077864,16341388,52231311
201704,27270427,79495665,23012049,72056570,3856522,13122288,12626221,39355911,16482743,52478199
201705,27509623,79952979,23173043,72369280,3862999,13093336,12705890,39471038,16568889,52564374
201706,27719440,80293767,23302304,72559196,3873521,13068038,12698284,39267554,16571805,52335592
201707,27976018,80771343,23451019,72840648,3888891,13067671,12756097,39333784,16644988,52401455
201708,28227835,81238365,23595178,73115761,3908441,13081578,12810813,39402559,16719254,52484137
201709,25598020,73991246,21485976,66812977,3440421,11506534,12151665,37616391,15592086,49122925
201710,26054041,74892001,21747166,67392674,3457901,11522573,12313510,37970373,15771411,49492946
201711,26458633,75661727,21946626,67841654,3462701,11511569,12442493,38260094,15905194,49771663
201712,26946898,76539470,22138797,68270457,3460232,11481091,12547592,38469544,16007824,49950635
201801,27294911,77171084,22344446,68737490,3461274,11465825,12597923,38497597,16059197,49963422
201802,27566806,77710094,22501582,69067578,3466055,11454747,12687757,38661251,16153812,50115998
201803,26698288,75236076,21746919,66730516,3234071,10656930,12428217,37850905,15662288,48507835
201804,27037383,75938824,21972556,67226460,3248912,10671450,12571495,38156036,15820407,48827486
201805,27465454,76823719,22259057,67857790,3260595,10665254,12768611,38596762,16029206,49262016
201806,27775454,77448760,22447369,68255284,3274295,10683385,12857736,38737903,16132031,49421288
201807,28016031,77908313,22592247,68525841,3347801,10939217,13003758,39092794,16351559,50032011
201808,26551733,73829691,21524182,65178989,3164743,10317936,12852623,38618458,16017366,48936394
201809,26925187,74571141,21755362,65660882,3193885,10375048,12932064,38685526,16125949,49060574
201810,27409237,75548158,22058920,66316993,3193011,10305688,12966142,38540579,16159153,48846267
201811,27755037,76174523,22243404,66672159,3208674,10329147,13023527,38562777,16232201,48891924
201812,26913731,73635046,21488560,64352020,3006575,9679720,12750668,37766288,15757243,47446008
201901,27313209,74437980,21793499,65130055,3020935,9734050,12948788,38332528,15969723,48066578
201902,27656256,75166656,22008196,65618788,3033132,9745155,13068178,38584561,16101310,48329716
201903,27928695,75733164,22184908,66003914,3047937,9779256,13144553,38684811,16192490,48464067
201904,27581649,74830843,21878764,65130924,2946923,9452845,13022471,38358027,15969394,47810872
201905,27906817,75497703,22094790,65601589,2961300,9476445,13149589,38597800,16110889,48074245
201906,28250663,76208988,22317692,66103480,2977497,9504527,13283061,38874312,16260558,48378839
201907,28523266,76721502,22473041,66424485,2991368,9528040,13352349,38974663,16343717,48502703
201908,28913303,77467360,22665535,66831025,3005580,9543831,13424806,39057948,16430386,48601779
201909,27796543,74063916,21710985,63805937,2805743,8890018,13186808,38339308,15992551,47229326
201910,28240279,75016422,21971568,64433849,2831199,8944228,13310467,38597613,16141666,47541841
201911,28564401,75724590,22166167,64915001,2842935,8962367,13420184,38855967,16263119,47818334
201912,28884000,76417354,22351469,65371519,2853527,8977608,13520588,39090704,16374115,48068312
202001,29080635,76836892,22683490,66149106,2860560,8990800,13574601,39217132,16435161,48207932
202002,28174603,74437533,22015659,64303012,2746503,8625461,13459111,38948511,16205614,47573972
202003,28484729,75122587,22231990,64759555,2762078,8655699,13545202,39153520,16307280,47809219
202004,28605430,75349525,22318525,64927921,2771605,8670718,13595301,39241613,16366906,47912331
202005,28782308,75689258,22468323,65226323,2788197,8700050,13679513,39390851,16467710,48090901
202006,28955032,76041909,22609909,65525880,2805148,8732604,13752105,39527153,16557253,48259757
202007,29122334,76360498,22743236,65788367,2820828,8761036,13821520,39642522,16642348,48403558
202008,29337569,76775120,22908831,66118714,2841319,8799041,13907681,39788352,16749000,48587393
202009,29511780,77065860,23040262,66337338,2858611,8824334,13972392,39858053,16831003,48682387
202010,29734614,77463767,23201706,66632171,2877099,8848751,14058673,39990357,16935772,48839108
202011,28680858,74838450,22500463,64659619,2748156,8455696,13841837,39439745,16589993,47895441
202012,28875190,75220543,22643048,64948448,2764930,8482827,13923660,39596469,16688590,48079296
