UF,anomes,cadunico_tot_fam,cadunico_tot_pes,cadunico_tot_fam_rpc_ate_meio_sm,cadunico_tot_pes_rpc_ate_meio_sm,cadunico_tot_fam_pob,cadunico_tot_pes_pob,cadunico_tot_fam_ext_pob,cadunico_tot_pes_ext_pob,cadunico_tot_fam_pob_e_ext_pob,cadunico_tot_pes_pob_e_ext_pob
AC,201401,123043,487390,118275,477580,26243,105599,73758,312496,100001,418095
AC,201402,124308,490355,119256,480056,26335,105938,74260,313492,100595,419430
AC,201403,125836,494170,120422,483210,26297,105691,74926,315250,101223,420941
AC,201404,126651,496303,121058,484987,26130,105026,75422,316625,101552,421651
AC,201405,127497,498509,121697,486786,24536,97100,79899,333763,104435,430863
AC,201406,128910,502246,122774,489935,24674,97646,80374,334847,105048,432493
AC,201407,129755,504673,123432,492013,24703,97758,80800,336079,105503,433837
AC,201408,130871,507951,124323,494834,24823,98351,81310,337496,106133,435847
AC,201409,131563,509316,124802,495849,24929,98748,81484,337584,106413,436332
AC,201410,132503,512480,125539,498592,25026,99337,81889,338867,106915,438204
AC,201411,133204,514604,126063,500365,24972,99218,82330,340367,107302,439585
AC,201412,133893,516711,126575,502138,24946,99164,82719,341783,107665,440947
AC,201501,124081,485875,117699,473590,21696,88509,78007,326213,99703,414722
AC,201502,124803,488164,118299,475647,21770,88773,78356,327380,100126,416153
AC,201503,125182,489497,118629,476886,21799,88995,78567,328116,100366,417111
AC,201504,125664,491147,119027,478407,21795,89011,78826,329094,100621,418105
AC,201505,126291,493199,119550,480273,21702,88680,79224,330571,100926,419251
AC,201506,126785,494232,119906,481045,21741,88845,79129,329530,100870,418375
AC,201507,122185,478249,115234,464859,20470,84840,75773,316453,96243,401293
AC,201508,122939,480217,115777,466331,20671,85819,75390,313852,96061,399671
AC,201509,123358,481199,116089,467098,20874,86904,75017,311665,95891,398569
AC,201510,123726,482090,116344,467758,21067,88141,74752,309833,95819,397974
AC,201511,124219,483061,116709,468488,21040,88065,75036,310360,96076,398425
AC,201512,124890,484958,117255,470165,20923,87491,75547,312150,96470,399641
AC,201601,120992,475192,114634,463520,20102,84885,73514,307648,93616,392533
AC,201602,121432,476542,115018,464768,19861,84006,74135,309793,93996,393799
AC,201603,122205,478586,115688,466635,19675,83247,74976,312511,94651,395758
AC,201604,122872,480332,116278,468259,19431,82169,75796,315249,95227,397418
